QID SF SYS ITER TIME
21 1000 cmr_time 2 2.282
21 1000 spark_time 2 2.731
21 1000 cmr_time 3 2.755
21 1000 spark_time 3 2.547
21 1000 cmr_time 4 1.534
21 1000 spark_time 4 2.746
21 1000 cmr_ans_display_time 0 0.000183
21 1000 cmr_ans_display_time 1 0.000128
21 1000 cmr_ans_display_time 2 0.000127
21 1000 cmr_ans_display_time 3 0.00026199999999999997
21 1000 cmr_ans_display_time 4 0.00015999999999999999
22 1000 cmr_time 0 12.44
22 1000 spark_time 0 15.767
22 1000 cmr_time 1 9.303
22 1000 spark_time 1 12.431000000000001
22 1000 cmr_time 2 8.479000000000001
22 1000 spark_time 2 11.478
22 1000 cmr_time 3 9.445
22 1000 spark_time 3 11.006
22 1000 cmr_time 4 8.465
22 1000 spark_time 4 10.546
22 1000 cmr_ans_display_time 0 0.000339
22 1000 cmr_ans_display_time 1 0.0005149999999999999
22 1000 cmr_ans_display_time 2 0.000656
22 1000 cmr_ans_display_time 3 0.00034399999999999996
22 1000 cmr_ans_display_time 4 0.000709
23 1000 cmr_time 0 50.559000000000005
23 1000 spark_time 0 110.397
23 1000 cmr_time 1 35.552
23 1000 spark_time 1 97.384
23 1000 cmr_time 2 36.095
23 1000 spark_time 2 99.544
23 1000 cmr_time 3 34.871
23 1000 spark_time 3 100.083
23 1000 cmr_time 4 34.587
23 1000 spark_time 4 102.709
23 1000 cmr_ans_display_time 0 0.000146
23 1000 cmr_ans_display_time 1 1.7e-05
23 1000 cmr_ans_display_time 2 1.8e-05
23 1000 cmr_ans_display_time 3 8e-06
23 1000 cmr_ans_display_time 4 2.4999999999999998e-05
24 1000 cmr_time 0 62.782000000000004
24 1000 spark_time 0 161.572
24 1000 cmr_time 1 45.811
24 1000 spark_time 1 135.987
24 1000 cmr_time 2 45.373
24 1000 spark_time 2 126.756
24 1000 cmr_time 3 42.775
24 1000 spark_time 3 130.661
24 1000 cmr_time 4 171.862
24 1000 spark_time 4 124.74600000000001
24 1000 cmr_ans_display_time 0 0.000233
24 1000 cmr_ans_display_time 1 0.000139
24 1000 cmr_ans_display_time 2 0.000288
24 1000 cmr_ans_display_time 3 0.00014
24 1000 cmr_ans_display_time 4 0.000167
25 1000 cmr_time 0 70.734
25 1000 spark_time 0 125.46000000000001
25 1000 cmr_time 1 54.778
25 1000 spark_time 1 116.126
25 1000 cmr_time 2 52.857
25 1000 spark_time 2 111.955
25 1000 cmr_time 3 52.979
25 1000 spark_time 3 115.316
25 1000 cmr_time 4 53.289
25 1000 spark_time 4 116.96000000000001
25 1000 cmr_ans_display_time 0 0.052065
25 1000 cmr_ans_display_time 1 0.053994
25 1000 cmr_ans_display_time 2 0.086448
25 1000 cmr_ans_display_time 3 0.081229
25 1000 cmr_ans_display_time 4 0.080414
26 1000 cmr_time 0 67.763
26 1000 spark_time 0 119.102
26 1000 cmr_time 1 53.003
26 1000 spark_time 1 114.48400000000001
26 1000 cmr_time 2 52.635
26 1000 spark_time 2 112.071
26 1000 cmr_time 3 56.153
26 1000 spark_time 3 114.913
26 1000 cmr_time 4 51.974000000000004
26 1000 spark_time 4 118.83200000000001
26 1000 cmr_ans_display_time 0 0.00101
26 1000 cmr_ans_display_time 1 0.0008259999999999999
26 1000 cmr_ans_display_time 2 0.000581
26 1000 cmr_ans_display_time 3 0.0012569999999999999
26 1000 cmr_ans_display_time 4 0.001023
27 1000 cmr_time 0 13.702
27 1000 spark_time 0 10.938
27 1000 cmr_time 1 5.144
27 1000 spark_time 1 7.239
27 1000 cmr_time 2 5.214
27 1000 spark_time 2 6.909
27 1000 cmr_time 3 5.3740000000000006
27 1000 spark_time 3 7.016
27 1000 cmr_time 4 4.784
27 1000 spark_time 4 7.1770000000000005
27 1000 cmr_ans_display_time 0 0.000379
27 1000 cmr_ans_display_time 1 0.000317
27 1000 cmr_ans_display_time 2 0.000298
27 1000 cmr_ans_display_time 3 0.000335
27 1000 cmr_ans_display_time 4 0.00036199999999999996
28 1000 cmr_time 0 9.084
28 1000 spark_time 0 6.672
28 1000 cmr_time 1 2.18
28 1000 spark_time 1 2.984
28 1000 cmr_time 2 1.832
28 1000 spark_time 2 2.724
28 1000 cmr_time 3 2.0100000000000002
28 1000 spark_time 3 2.443
28 1000 cmr_time 4 1.725
28 1000 spark_time 4 2.56
28 1000 cmr_ans_display_time 0 0.00031299999999999996
28 1000 cmr_ans_display_time 1 0.000354
28 1000 cmr_ans_display_time 2 0.000276
28 1000 cmr_ans_display_time 3 0.000372
28 1000 cmr_ans_display_time 4 0.000314
29 1000 cmr_time 0 8.919
29 1000 spark_time 0 6.3500000000000005
29 1000 cmr_time 1 2.754
29 1000 spark_time 1 3.541
29 1000 cmr_time 2 2.4210000000000003
29 1000 spark_time 2 2.985
29 1000 cmr_time 3 2.11
29 1000 spark_time 3 3.134
29 1000 cmr_time 4 2.023
29 1000 spark_time 4 2.855
29 1000 cmr_ans_display_time 0 0.00027299999999999997
29 1000 cmr_ans_display_time 1 0.00021999999999999998
29 1000 cmr_ans_display_time 2 0.00023099999999999998
29 1000 cmr_ans_display_time 3 0.000308
29 1000 cmr_ans_display_time 4 0.000235
30 1000 cmr_time 0 30.503
30 1000 spark_time 0 23.078
30 1000 cmr_time 1 17.127
30 1000 spark_time 1 17.439
30 1000 cmr_time 2 16.982
30 1000 spark_time 2 16.494
30 1000 cmr_time 3 17.071
30 1000 spark_time 3 16.029
30 1000 cmr_time 4 17.024
30 1000 spark_time 4 16.346
30 1000 cmr_ans_display_time 0 7.7e-05
30 1000 cmr_ans_display_time 1 1.4e-05
30 1000 cmr_ans_display_time 2 1.9999999999999998e-05
30 1000 cmr_ans_display_time 3 1.8e-05
30 1000 cmr_ans_display_time 4 2.2e-05
31 1000 cmr_time 0 17.05
31 1000 spark_time 0 19.561
31 1000 cmr_time 1 8.278
31 1000 spark_time 1 15.791
31 1000 cmr_time 2 7.678
31 1000 spark_time 2 14.884
31 1000 cmr_time 3 8.153
31 1000 spark_time 3 14.25
31 1000 cmr_time 4 7.712
31 1000 spark_time 4 14.583
31 1000 cmr_ans_display_time 0 0.00028399999999999996
31 1000 cmr_ans_display_time 1 0.000258
31 1000 cmr_ans_display_time 2 0.000254
31 1000 cmr_ans_display_time 3 0.000234
31 1000 cmr_ans_display_time 4 0.000314
32 1000 cmr_time 0 17.252
32 1000 spark_time 0 17.226
32 1000 cmr_time 1 8.497
32 1000 spark_time 1 10.587
32 1000 cmr_time 2 6.213
32 1000 spark_time 2 10.689
32 1000 cmr_time 3 6.2860000000000005
32 1000 spark_time 3 11.713000000000001
32 1000 cmr_time 4 6.055
32 1000 spark_time 4 10.489
32 1000 cmr_ans_display_time 0 0.000532
32 1000 cmr_ans_display_time 1 0.000258
32 1000 cmr_ans_display_time 2 0.00042899999999999997
32 1000 cmr_ans_display_time 3 0.000368
32 1000 cmr_ans_display_time 4 0.000277
33 1000 cmr_time 0 23.236
33 1000 spark_time 0 19.612000000000002
33 1000 cmr_time 1 7.003
33 1000 spark_time 1 13.191
33 1000 cmr_time 2 7.276
33 1000 spark_time 2 13.516
33 1000 cmr_time 3 6.734
33 1000 spark_time 3 12.496
33 1000 cmr_time 4 6.921
33 1000 spark_time 4 12.962
33 1000 cmr_ans_display_time 0 0.00189
33 1000 cmr_ans_display_time 1 0.00133
33 1000 cmr_ans_display_time 2 0.001408
33 1000 cmr_ans_display_time 3 0.001514
33 1000 cmr_ans_display_time 4 0.0028049999999999998
34 1000 cmr_time 0 9.115
34 1000 spark_time 0 5.939
34 1000 cmr_time 1 1.671
34 1000 spark_time 1 2.6670000000000003
34 1000 cmr_time 2 1.114
34 1000 spark_time 2 2.249
34 1000 cmr_time 3 1.282
34 1000 spark_time 3 1.9100000000000001
34 1000 cmr_time 4 1.576
34 1000 spark_time 4 1.806
34 1000 cmr_ans_display_time 0 5.8e-05
34 1000 cmr_ans_display_time 1 1.3e-05
34 1000 cmr_ans_display_time 2 9e-06
34 1000 cmr_ans_display_time 3 9.999999999999999e-06
34 1000 cmr_ans_display_time 4 1.1e-05
35 1000 cmr_time 0 12.105
35 1000 spark_time 0 7.267
35 1000 cmr_time 1 4.676
35 1000 spark_time 1 4.556
